Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
23,Leopardstown,1,Temptationinmilan,11-12,C Byrnes,R J Condon,119,U134-0P,,13,7,p,2,   
23,Leopardstown,2,Paidi's Passion,11-11,D M Christie,C P Millar,118,201115,,49,7,,4,D   
23,Leopardstown,3,Archies Charm,11-9,B R Hamilton,T P Harney,116,45-6345,,29,8,b1,4,   
23,Leopardstown,4,Jacksons Gold,11-9,Ms Curran,J G Gilligan,116,555-908,,33,9,,4,   
23,Leopardstown,5,Serenity Grove,11-9,Gearoid O'loughlin,C Brassil,116,035PP-4,,40,7,t,,   
23,Leopardstown,6,Sweet Will,11-7,Emmet Mullins,Conor Clarke,114,U1P-PP2,,27,6,t h,4,D   
23,Leopardstown,7,Harvey's Quay,11-6,E J O'Grady,A P Kelly,113,4-94019,,48,7,,2,   
23,Leopardstown,8,Hazelhatch Lady,11-4,James A Fahey,C D Smithers,111,11355P,,50,6,,4,D   
23,Leopardstown,9,Steppenwolf (FR),11-4,G P Cromwell,P M O'Brien,111,7PF6U3,,23,5,,4,   
23,Leopardstown,10,Broken Ice,11-3,G P Cromwell,K E Buckley,110,407542,,35,7,,,D   bf
23,Leopardstown,11,Galon De Vauzelle (FR),11-2,P J Rothwell,P J O'Hanlon,109,2-323PP,,41,7,b1,,D   
23,Leopardstown,12,Lake Chad,11-1,P Fenton,Niall Moore,108,624232,,36,8,,4,D   
23,Leopardstown,13,Quite Incredible,10-13,Dermot McLoughlin,M J Molloy,106,08-P4P7,,29,7,,4,   
23,Leopardstown,14,Soloman Lane,10-12,Martin Hassett,L A McKenna,105,17P6-30,,48,8,,2,   
23,Leopardstown,15,Nephin Beg,10-9,Sean Doyle,D J Gilligan,102,9F-0563,,31,5,,2,   
23,Leopardstown,16,Squire Ohara,10-2,A J Martin,J Coen,95,70605P,,48,5,,,   
24,Leopardstown,1,Apple's Of Bresil (FR),11-12,Barry Connell,M J M O'Sullivan,-,7-3,,41,5,,,   
24,Leopardstown,2,Ballyburn,11-12,W P Mullins,P Townend,-,111-2,,27,5,,,   bf
24,Leopardstown,3,Cleatus Poolaw,11-12,G Elliott,J W Kennedy,-,21-22,,29,5,,,   
24,Leopardstown,4,Cloughroe,11-12,P J Gilligan,D J Gilligan,-,430,,47,5,,5,   
24,Leopardstown,5,Coming Up Easy,11-12,H de Bromhead,Rachael Blackmore,-,3/6-7,,41,5,t1,,   
24,Leopardstown,6,Ebony Jade,11-12,J P Dempsey,K M Donoghue,-,400,,20,5,,,   
24,Leopardstown,7,Laurie Blue,11-5,E D Delany,D J O'Keeffe,-,2/,,628,5,,,   
24,Leopardstown,8,Saddle Her Up,11-5,Barry J Fitzgerald,S Cleary-Farrell,-,98/2,,61,5,,7,   
24,Leopardstown,9,Tell Me This,11-5,Nina Walsh,P J Carberry,-,FF-F,,68,5,,,   
25,Leopardstown,1,Magical Zoe,11-3,H de Bromhead,A P Heskin,136,1125-12,,49,5,,,   
25,Leopardstown,2,Risk Belle (FR),11-3,W P Mullins,M P Walsh,137,4F316-1,,27,4,,,   
25,Leopardstown,3,Space Tourist,11-3,W P Mullins,B Hayes,-,3-11821,,69,6,,,   
25,Leopardstown,4,Double Pink,11-0,Daniel G Murphy,M J M O'Sullivan,115,C61-621,,42,6,h,,D   
25,Leopardstown,5,Hispanic Moon (FR),11-0,H de Bromhead,D J O'Keeffe,137,18216-1,,33,6,,,D   
25,Leopardstown,6,Jetara,11-0,Mrs J Harrington,J W Kennedy,135,20P-811,,17,5,,,D   
25,Leopardstown,7,Pink In The Park,11-0,W P Mullins,D E Mullins,125,3-11345,,12,6,,,   
25,Leopardstown,8,Saylavee,11-0,W P Mullins,P Townend,135,51500-2,,33,6,,,D   
25,Leopardstown,9,Anna Bunina (FR),10-11,J C McConnell,D A Jacob,139,932-640,,26,7,t,,   
25,Leopardstown,10,Telmesomethinggirl,10-11,H de Bromhead,Rachael Blackmore,142,F212F-3,,228,8,,,D   
26,Leopardstown,1,Corbetts Cross,11-10,Emmet Mullins,M P Walsh,-,111R-31,,27,6,,,D   
26,Leopardstown,2,Favori De Champdou (FR),11-10,G Elliott,J W Kennedy,-,11P4-21,,34,8,,,D   
